Round,Pick #,Expected Board Slot,Strategy,Option #,Player,Team,Pos,Rank,R,HR,RBI,SB,AVG,OPS,ERA,WHIP,K/9,QS,SV,W
,,,,14,JJ Wetherholt,STL,2B/3B/SS,234,62,11,42,11,0.255,0.734,,,,,,
,,,,15,Jack Leiter,TEX,SP,235,,,,,,,4.52,1.37,8.7,11,0,9

18,205,204,Speed specialist,1,Gabriel Moreno,ARI,C,222,48,10,50,4,0.280,0.781,,,,,,
,,,,2,Alec Bohm,PHI,1B/3B,223,61,14,67,3,0.275,0.756,,,,,,
,,,,3,Francisco Alvarez,NYM,C,224,48,18,50,2,0.241,0.778,,,,,,
,,,,4,Sal Frelick,MIL,OF,225,51,8,47,13,0.271,0.727,,,,,,
,,,,5,Andrew Vaughn,MIL,1B,226,55,18,61,1,0.248,0.731,,,,,,
,,,,6,Otto Lopez,MIA,2B/SS,227,52,10,53,13,0.271,0.723,,,,,,
,,,,7,Caleb Durbin,BOS,2B/3B,228,51,9,47,18,0.267,0.746,,,,,,
,,,,8,Samuel Basallo,BAL,C,229,43,16,47,2,0.241,0.747,,,,,,
,,,,9,Xander Bogaerts,SD,SS,230,59,13,59,14,0.270,0.741,,,,,,
,,,,10,Brendan Donovan,SEA,2B/SS/OF,231,69,12,53,6,0.274,0.755,,,,,,
,,,,11,Masyn Winn,STL,SS,232,78,16,68,13,0.261,0.725,,,,,,
,,,,12,Merrill Kelly,ARI,SP,233,,,,,,,4.12,1.31,8.2,15,0,10
,,,,13,JJ Wetherholt,STL,2B/3B/SS,234,62,11,42,11,0.255,0.734,,,,,,
,,,,14,Jack Leiter,TEX,SP,235,,,,,,,4.52,1.37,8.7,11,0,9
,,,,15,Kevin McGonigle,DET,SS,236,64,12,44,10,0.257,0.758,,,,,,

19,228,227,RP depth/speculative saves,1,Bryce Miller,SEA,SP,245,,,,,,,4.19,1.27,8.0,11,0,9
,,,,2,Mickey Moniak,COL,OF,246,48,17,55,7,0.258,0.764,,,,,,
,,,,3,Ryne Nelson,ARI,SP/RP,247,,,,,,,4.31,1.32,7.5,12,0,10
,,,,4,Carter Jensen,KC,C,248,35,10,36,3,0.248,0.748,,,,,,
,,,,5,Carlos Correa,HOU,3B/SS,249,59,16,62,1,0.268,0.771,,,,,,
,,,,6,Ryan Weathers,NYY,SP,250,,,,,,,3.84,1.27,8.9,9,0,8
,,,,7,J.T. Realmuto,PHI,C,251,43,12,45,5,0.246,0.704,,,,,,
,,,,8,Kodai Senga,NYM,SP,252,,,,,,,3.92,1.33,9.0,10,0,9
,,,,9,Josh Lowe,LAA,OF,253,47,13,48,17,0.244,0.716,,,,,,
,,,,10,Casey Mize,DET,SP,254,,,,,,,4.06,1.27,8.0,12,0,9
,,,,11,Nolan Schanuel,LAA,1B,255,68,16,62,6,0.270,0.783,,,,,,
,,,,12,Shane Smith,CWS,SP,256,,,,,,,4.37,1.35,8.2,13,0,9
,,,,13,Connelly Early,BOS,SP,257,,,,,,,3.69,1.29,9.0,2,0,2
,,,,14,Shane Bieber,TOR,SP,258,,,,,,,3.74,1.21,8.4,10,0,8
,,,,15,Jose Soriano,LAA,SP,259,,,,,,,3.68,1.38,8.4,16,0,11

20,229,228,Injury stash/high-upside role bet,1,Mickey Moniak,COL,OF,246,48,17,55,7,0.258,0.764,,,,,,
,,,,2,Ryne Nelson,ARI,SP/RP,247,,,,,,,4.31,1.32,7.5,12,0,10
,,,,3,Carter Jensen,KC,C,248,35,10,36,3,0.248,0.748,,,,,,
,,,,4,Carlos Correa,HOU,3B/SS,249,59,16,62,1,0.268,0.771,,,,,,
,,,,5,Ryan Weathers,NYY,SP,250,,,,,,,3.84,1.27,8.9,9,0,8
,,,,6,J.T. Realmuto,PHI,C,251,43,12,45,5,0.246,0.704,,,,,,
,,,,7,Kodai Senga,NYM,SP,252,,,,,,,3.92,1.33,9.0,10,0,9
